ELO,TEAM,CONF
1770,Golden State Warriors,West
1661,San Antonio Spurs,West
1636,Los Angeles Clippers,West
1617,Utah Jazz,West
1602,Houston Rockets,West
1600,Toronto Raptors,East
1587,Boston Celtics,East
1587,Washington Wizards,East
1569,Miami Heat,East
1563,Portland Trail Blazers,West
1552,Denver Nuggets,West
1545,Cleveland Cavaliers,East
1543,Oklahoma City Thunder,West
1526,Indiana Pacers,East
1519,Chicago Bulls,East
1502,Milwaukee Bucks,East
1482,Memphis Grizzlies,West
1482,New Orleans Pelicans,West
1479,Atlanta Hawks,East
1463,Charlotte Hornets,East
1463,Minnesota Timberwolves,West
1441,Detroit Pistons,East
1420,Dallas Mavericks,West
1393,Sacramento Kings,West
1374,New York Knicks,East
1372,Brooklyn Nets,East
1367,Los Angeles Lakers,West
1352,Orlando Magic,East
1340,Phoenix Suns,West
1338,Philadelphia 76ers,East