PLAYER,TEAM,SALARY_MILLIONS,ENDORSEMENT_MILLIONS,PCT_ATTENDANCE_STADIUM,ATTENDANCE_TOTAL_BY_10K,FRANCHISE_VALUE_100_MILLION,ELO_100X,CONF,POSITION,AGE,MP,GP,MPG,WINS_RPM,PLAYER_TEAM_WINS,WIKIPEDIA_PAGEVIEWS_10K,TWITTER_FAVORITE_COUNT_1K
LeBron James,Cleveland Cavaliers,30.96,55.00,100.00,84.00,12.00,15.45,East,SF,32,37.80,74.00,37.80,20.43,51.00,14.70,5.53
Kevin Durant,Golden State Warriors,26.50,36.00,100.00,80.00,26.00,17.70,West,SF,28,33.40,62.00,33.40,12.24,51.00,6.29,1.43
James Harden,Houston Rockets,26.50,20.00,94.00,70.00,16.50,16.02,West,PG,27,36.40,81.00,36.40,15.54,54.00,3.28,0.97
Russell Westbrook,Oklahoma City Thunder,26.50,15.00,100.00,75.00,10.25,15.43,West,PG,28,34.60,81.00,34.60,17.34,46.00,4.28,2.13
Carmelo Anthony,New York Knicks,24.56,8.00,100.00,81.00,33.00,13.74,East,SF,32,34.30,74.00,34.30,5.26,29.00,3.77,0.72
Dwyane Wade,Chicago Bulls,23.20,13.00,104.00,89.00,25.00,15.19,East,SG,35,29.90,60.00,29.90,2.52,29.00,4.67,0.35
Chris Paul,Los Angeles Clippers,22.87,8.00,100.00,78.00,20.00,16.36,West,PG,31,31.50,61.00,31.50,13.48,43.00,2.69,0.83
Derrick Rose,New York Knicks,21.32,14.00,100.00,81.00,33.00,13.74,East,PG,28,32.50,64.00,32.50,1.17,26.00,3.27,1.86
Kyrie Irving,Cleveland Cavaliers,17.64,13.00,100.00,84.00,12.00,15.45,East,PG,24,35.10,72.00,35.10,8.28,47.00,4.80,1.54
Stephen Curry,Golden State Warriors,12.11,35.00,100.00,80.00,26.00,17.70,West,PG,28,33.40,79.00,33.40,18.80,65.00,17.57,12.28