,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W
72,77,Rudy Gobert,C,24,33.9,5.1,7.7,0.6609999999999999,0.0,0.0,0.0,5.1,7.7,0.662,0.6609999999999999,3.8,5.9,0.653,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3.0,14.0,UTAH,81,33.9,0.35,6.02,6.37,15.55,16.1,93.11,51
73,78,Al Horford,C,30,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2.0,0.8,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,14.0,BOS,68,32.3,0.76,1.06,1.82,6.93,12.5,98.96,46
74,79,Marcus Morris,SF,27,32.5,5.3,12.7,0.418,1.5,4.5,0.331,3.8,8.2,0.466,0.47700000000000004,1.8,2.3,0.784,1.0,3.7,4.6,2.0,0.7,0.3,1.1,2.1,14.0,DET,79,32.5,-0.11,0.63,0.52,5.85,8.0,97.01,36
75,80,Markieff Morris,PF,27,31.2,5.3,11.7,0.457,0.9,2.6,0.36200000000000004,4.4,9.1,0.483,0.49700000000000005,2.4,2.8,0.8370000000000001,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14.0,WSH,76,31.2,-0.55,2.41,1.86,7.61,8.9,100.12,45
76,81,Jae Crowder,SF,26,32.4,4.6,10.0,0.46299999999999997,2.2,5.5,0.39799999999999996,2.4,4.5,0.54,0.5720000000000001,2.4,3.0,0.8109999999999999,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,13.9,BOS,72,32.4,2.2,1.69,3.89,10.52,10.3,99.94,48
77,82,Kentavious Caldwell-Pope,SG,23,33.3,4.9,12.2,0.39899999999999997,2.0,5.8,0.35,2.9,6.5,0.442,0.48100000000000004,2.0,2.4,0.8320000000000001,0.7,2.5,3.3,2.5,1.2,0.2,1.1,1.6,13.8,DET,76,33.3,0.71,-1.31,-0.6,4.02,7.8,97.61,33
78,83,Will Barton,SG,26,28.4,4.9,11.1,0.44299999999999995,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7,DEN,60,28.4,0.05,-1.2,-1.15,2.2,10.2,100.14,31
79,84,Bojan Bogdanovic,SF,27,25.7,4.6,10.4,0.445,1.8,4.8,0.36700000000000005,2.9,5.6,0.512,0.53,2.7,3.0,0.893,0.5,3.0,3.4,1.4,0.4,0.1,1.6,1.8,13.7,BKN/WSH,81,25.7,-0.46,-3.42,-3.88,-1.04,9.1,102.76,23
80,85,Tyler Johnson,PG,24,29.8,4.9,11.3,0.433,1.3,3.4,0.37200000000000005,3.6,7.9,0.46,0.49,2.7,3.5,0.768,0.7,3.3,4.0,3.2,1.2,0.6,1.2,2.4,13.7,MIA,73,29.8,0.13,0.18,0.31,4.72,10.8,98.21,35
81,86,Ryan Anderson,PF,28,29.4,4.5,10.7,0.418,2.8,7.0,0.40299999999999997,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6,HOU,72,29.4,1.63,-0.12,1.51,6.46,7.9,101.8,50
82,87,Andre Drummond,C,23,29.7,6.0,11.2,0.53,0.0,0.1,0.28600000000000003,5.9,11.2,0.532,0.531,1.7,4.4,0.386,4.3,9.5,13.8,1.1,1.5,1.1,1.9,2.9,13.6,DET,81,29.7,-1.8,1.55,-0.25,4.33,13.6,96.5,36
83,88,Dwight Howard,C,31,29.7,5.2,8.3,0.633,0.0,0.0,0.0,5.2,8.3,0.635,0.633,3.1,5.7,0.5329999999999999,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,ATL,74,29.7,-1.7,2.6,0.9,5.65,15.1,99.8,37
84,89,Wesley Matthews,SG,30,34.2,4.6,11.6,0.39299999999999996,2.4,6.6,0.363,2.2,5.0,0.43200000000000005,0.496,2.0,2.5,0.816,0.2,3.3,3.5,2.9,1.1,0.2,1.4,2.2,13.5,DAL,73,34.2,0.09,0.11,0.2,5.06,8.1,94.04,29
85,91,Darren Collison,PG,29,30.3,5.0,10.5,0.47600000000000003,1.1,2.6,0.41700000000000004,3.9,7.9,0.495,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1.0,0.1,1.7,1.8,13.2,SAC,68,30.3,1.06,-1.47,-0.41,3.44,10.0,96.23,26
86,92,Julius Randle,PF,22,28.8,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,0.499,2.8,3.8,0.723,2.0,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2,LAL,74,28.8,-0.79,-1.03,-1.82,1.83,11.3,100.9,24
87,93,Nick Young,SG,31,25.9,4.5,10.6,0.43,2.8,7.0,0.40399999999999997,1.7,3.5,0.48100000000000004,0.564,1.3,1.5,0.856,0.4,1.9,2.3,1.0,0.6,0.2,0.6,2.3,13.2,LAL,60,25.9,2.28,-1.63,0.65,3.82,7.5,100.59,19
88,94,Ersan Ilyasova,PF,29,26.1,4.7,10.9,0.431,1.7,4.9,0.353,3.0,6.0,0.496,0.511,2.0,2.5,0.778,1.4,4.5,5.9,1.7,0.7,0.3,1.4,2.6,13.1,ATL/PHI/OKC,82,26.1,0.98,0.74,1.72,6.83,10.6,101.47,35
89,95,Sean Kilpatrick,SG,27,25.1,4.4,10.5,0.415,1.5,4.4,0.341,2.9,6.1,0.46799999999999997,0.486,2.9,3.5,0.843,0.3,3.7,4.0,2.2,0.6,0.1,1.9,1.7,13.1,BKN,70,25.1,-0.07,-2.36,-2.43,0.81,9.9,103.54,14
90,96,Robert Covington,SF,26,31.6,4.4,10.9,0.39899999999999997,2.0,6.1,0.33299999999999996,2.3,4.8,0.484,0.49200000000000005,2.1,2.6,0.8220000000000001,1.4,5.1,6.5,1.5,1.9,1.0,2.0,3.0,12.9,PHI,67,31.6,-0.77,4.32,3.55,9.23,9.1,101.81,27
91,97,Seth Curry,PG,26,29.0,4.8,10.0,0.48100000000000004,2.0,4.6,0.425,2.9,5.4,0.528,0.578,1.2,1.4,0.85,0.4,2.2,2.6,2.7,1.1,0.1,1.3,1.8,12.8,DAL,70,29.0,0.52,0.01,0.53,4.51,10.3,93.53,30
92,98,James Johnson,PF,29,27.4,4.8,10.1,0.479,1.1,3.4,0.34,3.7,6.8,0.5479999999999999,0.535,2.0,2.8,0.7070000000000001,0.9,4.1,4.9,3.6,1.0,1.1,2.3,2.6,12.8,MIA,76,27.4,0.42,1.94,2.36,7.31,12.0,98.7,40
93,99,Elfrid Payton,PG,22,29.4,5.2,11.1,0.47100000000000003,0.5,1.8,0.27399999999999997,4.8,9.3,0.509,0.493,1.8,2.6,0.6920000000000001,1.1,3.6,4.7,6.5,1.1,0.5,2.2,2.2,12.8,ORL,82,29.4,1.12,-0.78,0.34,5.38,11.7,100.23,29
94,100,Dario Saric,PF,22,26.3,4.7,11.4,0.41100000000000003,1.3,4.2,0.311,3.4,7.2,0.469,0.46799999999999997,2.1,2.7,0.782,1.4,5.0,6.3,2.2,0.7,0.4,2.3,2.0,12.8,PHI,81,26.3,-1.25,-0.62,-1.87,1.74,10.3,101.53,28
95,101,Aaron Gordon,SF,21,28.7,4.9,10.8,0.45399999999999996,1.0,3.3,0.28800000000000003,4.0,7.5,0.528,0.499,2.0,2.7,0.7190000000000001,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,ORL,80,28.7,1.25,-0.78,0.47,5.32,8.8,99.7,29
96,102,Rodney Hood,SG,24,27.0,4.6,11.3,0.408,1.9,5.2,0.371,2.7,6.1,0.44,0.494,1.5,1.9,0.7829999999999999,0.3,3.2,3.4,1.6,0.6,0.2,1.1,2.2,12.7,UTAH,59,27.0,-0.26,-0.51,-0.77,2.23,8.6,93.25,40
97,103,DeAndre Jordan,C,28,31.7,5.1,7.1,0.7140000000000001,0.0,0.0,0.0,5.1,7.1,0.7170000000000001,0.7140000000000001,2.5,5.2,0.48200000000000004,3.7,10.1,13.8,1.2,0.6,1.7,1.4,2.6,12.7,LAC,81,31.7,1.11,3.44,4.55,12.59,15.0,98.43,51
98,104,Clint Capela,C,22,23.9,5.6,8.7,0.643,0.0,0.0,,5.6,8.7,0.643,0.643,1.4,2.7,0.531,2.7,5.4,8.1,1.0,0.5,1.2,1.3,2.8,12.6,HOU,65,23.9,-1.47,1.12,-0.35,2.82,13.0,101.19,44
99,105,Pau Gasol,C,36,25.4,4.7,9.4,0.502,0.9,1.6,0.5379999999999999,3.9,7.8,0.494,0.5479999999999999,2.0,2.9,0.7070000000000001,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4,SA,64,25.4,0.86,1.49,2.35,5.48,14.3,95.48,47
100,106,Jamal Crawford,SG,36,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3.0,6.7,0.44299999999999995,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,LAC,82,26.3,-0.06,-3.18,-3.24,-0.16,7.9,98.53,51
101,107,Austin Rivers,SG,24,27.8,4.4,9.9,0.442,1.5,4.0,0.371,2.9,5.8,0.491,0.518,1.8,2.6,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12.0,LAC,74,27.8,-0.17,-1.73,-1.9,1.62,6.9,98.18,43
102,108,Jonas Valanciunas,C,24,25.8,4.9,8.8,0.557,0.0,0.0,0.5,4.9,8.8,0.557,0.5579999999999999,2.2,2.7,0.8109999999999999,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12.0,TOR,80,25.8,-0.74,0.75,0.01,4.06,13.6,96.61,50
103,109,Jahlil Okafor,C,21,22.7,4.8,9.4,0.514,0.0,0.0,,4.8,9.4,0.514,0.514,2.1,3.2,0.6709999999999999,1.6,3.2,4.8,1.2,0.4,1.0,1.8,2.4,11.8,PHI,50,22.7,-4.43,-1.26,-5.69,-1.85,9.7,98.93,15
104,110,Trevor Ariza,SF,31,34.7,4.1,10.0,0.409,2.4,6.9,0.344,1.7,3.0,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,HOU,80,34.7,0.86,1.07,1.93,9.29,8.5,102.78,53
105,111,Frank Kaminsky,C,23,26.1,4.3,10.7,0.39899999999999997,1.5,4.7,0.32799999999999996,2.7,6.0,0.455,0.47100000000000003,1.6,2.1,0.7559999999999999,0.8,3.7,4.5,2.2,0.6,0.5,1.0,1.9,11.7,CHA,75,26.1,0.96,-0.51,0.45,4.4,8.5,98.15,31
106,112,Greg Monroe,C,26,22.5,4.8,9.0,0.5329999999999999,0.0,0.0,0.0,4.8,8.9,0.536,0.5329999999999999,2.2,3.0,0.741,2.1,4.5,6.6,2.3,1.1,0.5,1.7,2.1,11.7,MIL,81,22.5,1.08,0.47,1.55,5.34,13.9,96.98,42
107,113,Steven Adams,C,23,29.9,4.7,8.2,0.5710000000000001,0.0,0.0,0.0,4.7,8.2,0.5720000000000001,0.5710000000000001,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3,OKC,80,29.9,-0.3,1.68,1.38,7.01,9.7,101.16,47
108,114,Marvin Williams,PF,30,30.2,3.9,9.3,0.42200000000000004,1.6,4.7,0.35,2.3,4.6,0.494,0.51,1.7,2.0,0.873,1.2,5.4,6.6,1.4,0.8,0.7,0.8,1.8,11.2,CHA,76,30.2,-0.02,-0.07,-0.09,4.36,9.6,97.82,32
109,115,Ricky Rubio,PG,26,32.9,3.5,8.7,0.402,0.8,2.6,0.306,2.7,6.1,0.44299999999999995,0.44799999999999995,3.4,3.8,0.8909999999999999,0.9,3.2,4.1,9.1,1.7,0.1,2.6,2.7,11.1,MIN,75,32.9,1.73,0.76,2.49,8.72,11.4,97.07,28
110,116,Jerryd Bayless,PG,28,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3.0,9.0,0.33299999999999996,0.375,3.0,3.3,0.9,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0,PHI,3,23.7,-2.23,-0.47,-2.7,0.02,9.7,97.84,1
111,117,Kent Bazemore,SF,27,26.9,4.0,9.9,0.409,1.3,3.6,0.34600000000000003,2.8,6.2,0.446,0.473,1.6,2.3,0.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,11.0,ATL,73,26.9,-0.69,-0.5,-1.19,2.41,7.4,100.37,39
112,118,Brandon Knight,SG,25,21.1,3.9,9.7,0.39799999999999996,0.8,2.6,0.324,3.0,7.1,0.425,0.441,2.4,2.9,0.857,0.5,1.7,2.2,2.4,0.5,0.1,1.6,1.6,11.0,PHX,54,21.1,-2.24,-3.08,-5.32,-1.63,8.8,102.73,16
113,119,Emmanuel Mudiay,PG,20,25.6,3.8,10.0,0.377,1.0,3.2,0.315,2.8,6.8,0.408,0.428,2.4,3.0,0.784,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11.0,DEN,55,25.6,-1.52,-2.38,-3.9,-0.71,7.4,101.93,25
114,120,Terrence Ross,SF,25,25.1,4.2,9.6,0.43700000000000006,1.8,5.0,0.363,2.4,4.6,0.518,0.532,0.8,1.0,0.831,0.2,2.4,2.6,1.1,1.1,0.4,0.9,1.8,11.0,ORL/TOR,78,25.1,1.36,-1.23,0.13,4.06,7.8,99.82,39
115,121,Deron Williams,PG,32,25.9,4.1,9.4,0.43799999999999994,1.3,3.7,0.363,2.8,5.7,0.486,0.509,1.4,1.7,0.826,0.2,2.1,2.3,5.6,0.5,0.1,2.2,2.2,11.0,CLE/DAL,64,25.9,0.69,-0.91,-0.22,2.95,10.0,94.28,25
116,122,Thaddeus Young,PF,28,30.2,4.9,9.3,0.527,0.6,1.6,0.381,4.3,7.7,0.557,0.56,0.6,1.2,0.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11.0,IND,74,30.2,-1.09,1.94,0.85,5.66,9.7,98.97,40
117,123,J.J. Barea,PG,32,22.0,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0.0,1.8,0.9,10.9,DAL,35,22.0,0.15,-1.57,-1.42,0.8,13.4,95.14,11
118,124,Justise Winslow,SF,20,34.7,4.4,12.5,0.35600000000000004,0.4,1.9,0.2,4.1,10.6,0.384,0.371,1.6,2.6,0.617,1.3,3.9,5.2,3.7,1.4,0.3,1.8,2.9,10.9,MIA,18,34.7,-4.08,0.16,-3.92,-0.31,5.9,97.53,4
119,125,Taj Gibson,PF,31,25.5,4.7,9.1,0.515,0.0,0.2,0.231,4.6,8.9,0.52,0.517,1.4,2.0,0.715,2.0,4.2,6.2,0.9,0.5,0.8,1.3,2.1,10.8,CHI/OKC,78,25.5,-1.76,2.02,0.26,4.29,9.7,98.39,41
120,126,Marcin Gortat,C,32,31.2,4.8,8.2,0.579,0.0,0.0,0.0,4.8,8.2,0.58,0.579,1.3,1.9,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,WSH,82,31.2,-1.25,1.18,-0.07,5.01,10.9,99.85,49
121,127,Terrence Jones,PF,25,23.5,4.3,9.1,0.47,0.4,1.4,0.253,3.9,7.7,0.508,0.489,1.9,3.1,0.606,1.2,4.5,5.7,1.1,0.7,1.0,0.9,1.2,10.8,NO/MIL,54,23.5,-1.38,-0.72,-2.1,0.84,11.0,99.53,20
122,128,Courtney Lee,SG,31,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.5329999999999999,1.1,1.3,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,NY,77,31.9,0.58,-1.51,-0.93,3.4,7.7,97.86,29
123,129,Allen Crabbe,SG,24,28.5,3.8,8.2,0.46799999999999997,1.7,3.8,0.444,2.1,4.4,0.49,0.5720000000000001,1.3,1.6,0.847,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7,POR,79,28.5,0.22,-2.87,-2.65,0.68,7.4,99.95,39
124,131,Alex Poythress,PF,23,26.2,4.2,9.0,0.46299999999999997,1.0,3.2,0.316,3.2,5.8,0.5429999999999999,0.519,1.3,1.7,0.8,1.8,3.0,4.8,0.8,0.5,0.3,0.5,2.3,10.7,PHI,6,26.2,-1.91,-0.47,-2.38,0.07,7.9,99.21,0
125,132,Buddy Hield,SG,23,23.0,4.0,9.4,0.426,1.8,4.6,0.391,2.2,4.7,0.461,0.523,0.8,0.9,0.8420000000000001,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6,NO/SAC,82,23.0,-0.92,-2.28,-3.2,-0.09,8.4,98.9,31
126,133,Nikola Mirotic,PF,25,24.0,3.7,8.9,0.413,1.8,5.4,0.342,1.8,3.5,0.52,0.516,1.4,1.8,0.773,0.9,4.6,5.5,1.1,0.8,0.8,1.1,1.8,10.6,CHI,70,24.0,0.92,1.31,2.23,5.69,10.4,97.95,37
127,134,Marcus Smart,SG,22,30.4,3.4,9.5,0.359,1.2,4.2,0.28300000000000003,2.2,5.3,0.42,0.42200000000000004,2.6,3.2,0.812,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,10.6,BOS,79,30.4,0.26,0.49,0.75,5.98,8.1,100.29,51
128,135,Marco Belinelli,SG,30,24.0,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5,CHA,74,24.0,0.67,-1.87,-1.2,2.15,8.8,97.98,34
129,136,Wayne Ellington,SG,29,24.2,3.7,9.0,0.41600000000000004,2.4,6.4,0.37799999999999995,1.3,2.6,0.509,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5,MIA,62,24.2,2.26,-1.6,0.66,3.58,8.2,97.3,35
130,137,Robin Lopez,C,28,28.0,4.7,9.6,0.493,0.0,0.0,0.0,4.7,9.5,0.494,0.493,0.9,1.3,0.721,3.0,3.4,6.4,1.0,0.2,1.4,1.1,1.9,10.4,CHI,81,28.0,-2.07,0.63,-1.44,2.42,8.3,97.27,40
131,138,Mason Plumlee,C,26,26.5,4.1,7.7,0.536,0.0,0.1,0.0,4.1,7.6,0.541,0.536,2.1,3.7,0.58,2.1,5.4,7.5,3.5,0.9,1.1,1.7,2.8,10.4,DEN/POR,81,26.5,0.71,0.22,0.93,5.6,11.2,99.06,38
132,139,Tyreke Evans,SF,27,19.7,3.8,9.3,0.405,1.1,3.0,0.35600000000000004,2.7,6.3,0.429,0.462,1.7,2.3,0.75,0.3,3.1,3.4,3.1,0.9,0.2,1.5,1.5,10.3,NO/SAC,40,19.7,-1.52,0.02,-1.5,0.81,11.8,98.53,17
133,140,Cody Zeller,PF,24,27.8,4.1,7.1,0.5710000000000001,0.0,0.0,0.0,4.1,7.1,0.5720000000000001,0.5710000000000001,2.1,3.2,0.679,2.2,4.4,6.5,1.6,1.0,0.9,1.0,3.0,10.3,CHA,62,27.8,-0.07,3.42,3.35,6.97,9.6,97.57,33
134,141,Malcolm Brogdon,SG,24,26.4,3.9,8.5,0.457,1.0,2.6,0.40399999999999997,2.8,5.9,0.48,0.518,1.5,1.7,0.865,0.6,2.2,2.8,4.2,1.1,0.2,1.5,1.9,10.2,MIL,75,26.4,1.86,-0.42,1.44,5.66,9.8,96.37,38
135,142,Draymond Green,PF,26,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.5,5.1,0.494,0.48100000000000004,2.0,2.8,0.7090000000000001,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2,GS,76,32.5,1.55,5.59,7.14,16.84,11.7,103.34,62
136,143,Jon Leuer,PF,27,25.9,4.1,8.6,0.48,0.7,2.2,0.293,3.5,6.4,0.545,0.518,1.3,1.5,0.867,1.4,4.0,5.4,1.5,0.4,0.3,0.9,1.9,10.2,DET,75,25.9,-1.43,0.58,-0.85,2.78,10.0,97.11,34
137,144,Jusuf Nurkic,C,22,21.4,4.2,8.2,0.507,0.0,0.0,0.0,4.2,8.2,0.508,0.507,1.8,3.2,0.5710000000000001,2.4,4.8,7.2,1.9,0.8,1.1,2.2,2.5,10.2,DEN/POR,65,21.4,-2.11,2.73,0.62,3.32,11.7,100.65,34
138,145,Josh Richardson,SG,23,30.5,3.8,9.7,0.39399999999999996,1.4,4.3,0.33,2.4,5.4,0.444,0.467,1.1,1.5,0.779,0.7,2.5,3.2,2.6,1.1,0.7,1.2,2.5,10.2,MIA,53,30.5,-1.63,0.06,-1.57,1.57,6.9,97.52,23
139,146,Kyle Korver,SG,35,26.2,3.6,7.7,0.46399999999999997,2.4,5.4,0.451,1.1,2.3,0.494,0.621,0.6,0.6,0.905,0.1,2.7,2.8,1.6,0.5,0.3,1.0,1.6,10.1,ATL/CLE,67,26.2,-0.15,-2.61,-2.76,0.41,8.1,100.0,33
140,147,Tony Parker,PG,34,25.2,4.2,9.0,0.466,0.4,1.1,0.33299999999999996,3.8,7.9,0.484,0.486,1.3,1.9,0.726,0.1,1.7,1.8,4.5,0.5,0.0,1.4,1.5,10.1,SA,63,25.2,-0.69,-0.97,-1.66,1.42,9.3,93.94,46
141,148,Trevor Booker,PF,29,24.7,4.3,8.3,0.516,0.4,1.1,0.321,3.9,7.2,0.546,0.537,1.0,1.5,0.6729999999999999,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,10.0,BKN,71,24.7,-2.29,2.0,-0.29,3.3,12.7,103.12,18
142,149,Gorgui Dieng,PF,27,32.4,4.0,8.1,0.502,0.2,0.5,0.37200000000000005,3.9,7.5,0.511,0.514,1.7,2.0,0.8140000000000001,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10.0,MIN,82,32.4,-0.8,3.52,2.72,9.73,9.2,96.76,31
143,150,Yogi Ferrell,PG,23,26.0,3.5,8.6,0.406,1.5,3.8,0.386,2.0,4.7,0.42200000000000004,0.49200000000000005,1.6,1.9,0.831,0.4,2.0,2.4,3.7,0.9,0.2,1.5,2.0,10.0,DAL/BKN,46,26.0,-0.99,-1.21,-2.2,0.39,8.4,95.91,18
144,151,Maurice Harkless,SF,23,28.9,4.1,8.1,0.503,0.9,2.5,0.35100000000000003,3.2,5.6,0.5720000000000001,0.5579999999999999,1.0,1.6,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10.0,POR,77,28.9,0.38,0.49,0.87,5.67,6.9,99.45,38
