PLAYER,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Russell Westbrook,2130.5,559
James Harden,969,321.5
Isaiah Thomas,467.5,155.5
Anthony Davis,368,104
DeMar DeRozan,0,186
DeMarcus Cousins,102,91.5
Damian Lillard,186.5,43
LeBron James,5533.5,1501.5
Kawhi Leonard,2701.5,716.5
Stephen Curry,12278,2893
Kyrie Irving,1541,695
Kevin Durant,1425.5,366
Karl-Anthony Towns,0,105
Jimmy Butler,89.5,30
Paul George,228.5,128
Andrew Wiggins,182,54.5
Kemba Walker,59.5,32.5
Bradley Beal,55.5,40.5
John Wall,0,77
C.J. McCollum,126,33
Carmelo Anthony,720.5,220
Kyle Lowry,561,162
Klay Thompson,797,225
Devin Booker,1170.5,335.5
Gordon Hayward,319,50.5
Blake Griffin,269,98.5
Eric Bledsoe,9,30.5
Mike Conley,257.5,90
Goran Dragic,62.5,45
Joel Embiid,6852.5,2941
Jabari Parker,267,125
Marc Gasol,0,75.5
Harrison Barnes,88.5,28.5
Kevin Love,866.5,194.5
Zach LaVine,178.5,67
Dwyane Wade,349.5,149.5
Danilo Gallinari,29,6
Paul Millsap,60,32
Chris Paul,829,178.5
Kristaps Porzingis,485,214
Derrick Rose,1864,2504.5
Dennis Schroder,51.5,20
Lou Williams,26.5,9
LaMarcus Aldridge,195,63
Evan Fournier,21,10
Hassan Whiteside,194,155
George Hill,33.5,3
Nikola Jokic,0,1
Eric Gordon,55,26
Tobias Harris,2,4
Victor Oladipo,78,28
Dion Waiters,0,7
Wilson Chandler,31.5,18.5
D'Angelo Russell,0,232
Jrue Holiday,0,39
Jeff Teague,17.5,13.5
Nicolas Batum,114.5,66
J.J. Redick,9,1
Gary Harris,6,2.5
Jordan Clarkson,55.5,179.5
Khris Middleton,16,9
Nikola Vucevic,5.5,35.5
Tim Hardaway,0,0
Reggie Jackson,37,9.5
Jeremy Lin,936.5,197.5
Myles Turner,53,31
T.J. Warren,55.5,27
Enes Kanter,147,195
Dirk Nowitzki,1564,500.5
Jordan Crawford,1,5
Zach Randolph,47,18.5
Rudy Gobert,731,225.5
Al Horford,136,71
Marcus Morris,6,23
Markieff Morris,9,18
Jae Crowder,55,47
Kentavious Caldwell-Pope,9,10
Will Barton,1,3
Tyler Johnson,3,6
Andre Drummond,0,25
Dwight Howard,7,1
Darren Collison,4,7
Julius Randle,102,59
Nick Young,45.5,14
Robert Covington,38,15
Seth Curry,30.5,35
James Johnson,13,7
Elfrid Payton,19,8
Aaron Gordon,42.5,16
DeAndre Jordan,189.5,27
Clint Capela,120,45.5
Pau Gasol,882.5,148.5
Jamal Crawford,49,32
Austin Rivers,75.5,23
Jonas Valanciunas,65,40
Trevor Ariza,10,15
Frank Kaminsky,112.5,29
Greg Monroe,9,7
Steven Adams,36,99
Ricky Rubio,262.5,76
Jerryd Bayless,2,5
Emmanuel Mudiay,69,21
Terrence Ross,0,0
Deron Williams,36,19
Thaddeus Young,0,1.5
J.J. Barea,0,17.5
Justise Winslow,88.5,33.5
Taj Gibson,52,17
Marcin Gortat,1,1
Terrence Jones,42,18.5
Courtney Lee,2,1
Allen Crabbe,11.5,9
C.J. Miles,11,1
Buddy Hield,512,333
Nikola Mirotic,119,50.5
Marcus Smart,1,9
Marco Belinelli,0,15
Wayne Ellington,18,12
Tyreke Evans,6,9
Cody Zeller,90,29
Draymond Green,627,168.5
Jusuf Nurkic,45,43.5
Josh Richardson,42,10
Kyle Korver,107.5,30.5
Trevor Booker,16.5,8
Yogi Ferrell,37.5,9
Maurice Harkless,0,14.5
Ty Lawson,75.5,27
Jamal Murray,0,62.5
Richaun Holmes,25,4
Kenneth Faried,14,8
E'Twaun Moore,0,10
Patrick Beverley,214.5,51
Derrick Favors,25,6.5
Patty Mills,112,19
Nik Stauskas,28,11
Michael Beasley,8,5
Brandon Ingram,194,100
Cory Joseph,48.5,15
Marquese Chriss,0,22
Jeff Green,57.5,28.5
Gerald Henderson,1,8
Michael Kidd-Gilchrist,29,11
Jameer Nelson,0,9
Tony Allen,10.5,11
Channing Frye,8,4
Montrezl Harrell,11,4
Nene Hilario,22,16.5
Jodie Meeks,36.5,15
Dahntay Jones,0,99.5
Kelly Olynyk,56.5,16
Evan Turner,17,13
DeMarre Carroll,29.5,8
Al-Farouq Aminu,33,9
Nerlens Noel,105,64
Marreese Speights,80,12
J.R. Smith,0,43
Tyson Chandler,29,9
Norman Powell,49,18
Troy Daniels,30,10
Joe Harris,0,0
Willy Hernangomez,0,55.5
Caris LeVert,0,28
Willie Cauley-Stein,0,17
Ben McLemore,30,17
Tristan Thompson,368,211
Vince Carter,0,7
Alex Len,10.5,6
Langston Galloway,14.5,2
Shelvin Mack,6,3
Sergio Rodriguez,303,60
Rajon Rondo,185.5,74
Garrett Temple,2,1
Matthew Dellavedova,175,30
Luol Deng,22,13.5
Andre Iguodala,300.5,43
Manu Ginobili,299,66
Ivica Zubac,5,43
Alan Williams,1,7
Spencer Dinwiddie,0,7
Archie Goodwin,8,4
Danny Green,0,15
David Lee,56.5,35
Thabo Sefolosha,28.5,17.5
Justin Anderson,5,10
Matt Barnes,50,7
Joe Ingles,86.5,4
Anthony Tolliver,11,2
Josh Huestis,24.5,2.5
Justin Hamilton,0,8.5
T.J. McConnell,2,1
Ian Clark,33.5,25
Jared Dudley,31,4
Patrick Patterson,53.5,8
Bobby Portis,37,73
Lance Stephenson,26,17
Brandan Wright,0,6
Alec Burks,10,15
Raymond Felton,9,6.5
Dwight Powell,0,10
Jaylen Brown,0,100
Michael Carter-Williams,0,5
Dante Cunningham,0,3
Kosta Koufos,37,8
Andre Roberson,10,8
Marcus Thornton,14,6
Sam Dekker,139,13
Amir Johnson,31.5,6
Kyle O'Quinn,0,7
Kelly Oubre,64.5,114.5
Dante Exum,48.5,28
Spencer Hawes,12,4
Trey Lyles,48,12
Chandler Parsons,59,16
Jonathon Simmons,58,40
Troy Williams,5,9
JaVale McGee,0,32
Zaza Pachulia,141.5,34
Glenn Robinson,79,26
David Nwaba,0,3
Jerian Grant,25,32.5
Andrew Harrison,0,17
Domantas Sabonis,0,82
Quincy Acy,4,4
Beno Udrih,5,8.5
Jason Smith,0,23
Taurean Waller-Prince,8.5,9
Ian Mahinmi,10,5
Georgios Papagiannis,7,3
Delon Wright,11.5,14
Jerami Grant,9,3
Anthony Morrow,0,5
Terry Rozier,2,6
Malcolm Delaney,1,1
Meyers Leonard,149,31
Derrick Jones,0,74
Chasson Randle,13.5,7
Omri Casspi,24,7
Randy Foye,2,4
Cameron Payne,38.5,21
Luis Scola,16,60
Denzel Valentine,23,24
Anthony Bennett,9,10.5
Aaron Brooks,1,3
Trey Burke,41,14
Joakim Noah,0,87
Thomas Robinson,15,6
Juan Hernangomez,21,18
Mario Hezonja,272,207
Tiago Splitter,8,9
Kevin Seraphin,4.5,8
Isaiah Canaan,24.5,8
Boris Diaw,136.5,13
Kris Humphries,67,9
David West,0,25
Corey Brewer,51.5,15.5
Reggie Bullock,20,13
C.J. Watson,1,3
Reggie Williams,0,0
Stanley Johnson,0,19
Jordan McRae,25.5,7.5
Donatas Motiejunas,9,3
Jarrod Uthoff,0,0
Noah Vonleh,23.5,12
Tyler Ennis,11,6
K.J. McDaniels,17,7
Brandon Rush,14,1.5
Shabazz Napier,159,72
Jason Terry,2,6
Justin Harper,1,1
Thon Maker,0,39.5
Edy Tavares,12.5,7
Anthony Brown,3,3
Jarell Martin,2,4
Malik Beasley,0,14
Kris Dunn,165,47
Jonas Jerebko,7,17
Tyus Jones,0,14
Adreian Payne,0,13
Rashad Vaughn,2,7
Tyler Zeller,15,14
Kyle Anderson,22,11.5
Dragan Bender,,
Jared Sullinger,11,2
Gary Payton,0,18
Wade Baldwin,0,36.5
Henry Ellenson,6.5,5
Paul Pierce,346.5,142
Briante Weber,29.5,14
Jarrett Jack,11.5,7
Sasha Vujacic,3,1
Alan Anderson,1,3
Andrew Bogut,57,4
Semaj Christon,0,3
Fred VanVleet,0,17.5
Jeff Withey,16,5
Marcus Georges-Hunt,3,5
Kyle Singler,9,6
Omer Asik,,
Tomas Satoransky,7,8.5
Andrew Nicholson,5,5
Bobby Brown,4,1
DeAndre Liggins,2,2
Kevon Looney,0,18.5
Miles Plumlee,11,3
Mike Scott,2,1
Greivis Vasquez,10,8.5
James Young,0,12
Rakeem Christmas,13,3
Manny Harris,2,3
Udonis Haslem,28.5,18
Tim Quarterman,0,1
John Jenkins,3,1
Lamar Patterson,4,4
Cole Aldrich,22,9
Nick Collison,10,12
Bruno Caboclo,11,8
Ryan Kelly,17,10
Jordan Mickey,0,3
Jarnell Stokes,7,9
Mike Miller,50,14.5
Anderson Varejao,20,3
Mike Tobey,1,0
C.J. Wilcox,3,3
Kyle Wiltjer,4,13.5
Alonzo Gee,,
Larry Sanders,24.5,18
Arinze Onuaku,0,1
Patricio Garino,3,5